image_id,image_filename,archive_member_name,file_format,width,height,aspect_ratio,file_size_bytes,sha256,read_status,network_expanded_path,network_expanded_same_hash
001,opera-01-001-s.jpg,爬虫脸谱图集/opera-01-001-s.jpg,JPEG,123,150,0.82000000,15760,0aba39c201b6a13aea2e0f6b68de43766d837cf159ec05ccc4beabada9f28688,readable,data/raw/脸谱新一步/网络图片汇总/001.jpg,yes
002,opera-01-002-s.jpg,爬虫脸谱图集/opera-01-002-s.jpg,JPEG,123,149,0.82550336,15965,ffd50db0e3b16f62676a68dc92cf83d5972ba8a6d33d1c46d793c5f23ca522a5,readable,data/raw/脸谱新一步/网络图片汇总/002.jpg,yes
003,opera-01-003-s.jpg,爬虫脸谱图集/opera-01-003-s.jpg,JPEG,123,150,0.82000000,16354,2f9ec11b4b27ae0dee684efcdc9564902db3f2c8084d131ef5128e030a881526,readable,data/raw/脸谱新一步/网络图片汇总/003.jpg,yes
004,opera-01-004-s.jpg,爬虫脸谱图集/opera-01-004-s.jpg,JPEG,123,150,0.82000000,15605,04122e3ac9866f6b102521e8e70924b30c2ca04178dcf1109b5dc4968956d1a7,readable,data/raw/脸谱新一步/网络图片汇总/004.jpg,yes
005,opera-01-005-s.jpg,爬虫脸谱图集/opera-01-005-s.jpg,JPEG,123,150,0.82000000,13554,06141b6b3e618fe193fb93c27d2e92217ffd6c59af4e7ec725c60ea20f250359,readable,data/raw/脸谱新一步/网络图片汇总/005.jpg,yes
006,opera-01-006-s.jpg,爬虫脸谱图集/opera-01-006-s.jpg,JPEG,123,150,0.82000000,14991,f7312d54a9efb72a540c635ea0b6197523591e980c3b44f05ff980d6a91d7299,readable,data/raw/脸谱新一步/网络图片汇总/006.jpg,yes
007,opera-01-007-s.jpg,爬虫脸谱图集/opera-01-007-s.jpg,JPEG,123,150,0.82000000,15775,138f5af12c7630c12ea5a7d91b4f4a8d8e78b0bf38ee29b498953b83b39cff61,readable,data/raw/脸谱新一步/网络图片汇总/007.jpg,yes
008,opera-01-008-s.jpg,爬虫脸谱图集/opera-01-008-s.jpg,JPEG,123,150,0.82000000,14490,952f468618f4d6f48fb2ecbeed041cf8a7247c9624de184b1b9c833487a2407f,readable,data/raw/脸谱新一步/网络图片汇总/008.jpg,yes
009,opera-01-009-s.jpg,爬虫脸谱图集/opera-01-009-s.jpg,JPEG,123,150,0.82000000,14354,177b63d7f2dc5e639991fd489bcff69f297adf1f8a2b1ffcf304170951636c9a,readable,data/raw/脸谱新一步/网络图片汇总/009.jpg,yes
010,opera-01-010-s.jpg,爬虫脸谱图集/opera-01-010-s.jpg,JPEG,123,150,0.82000000,14033,9c03d7634718bdcc92f64cfd6cb39e26afbe64f1e323677e9ec682ee797b8c70,readable,data/raw/脸谱新一步/网络图片汇总/010.jpg,yes
011,opera-01-011-s.jpg,爬虫脸谱图集/opera-01-011-s.jpg,JPEG,123,150,0.82000000,13797,da33fce8d604b189dd79dd6582a198f3a4e823e80accea77a619f44d69c71489,readable,data/raw/脸谱新一步/网络图片汇总/011.jpg,yes
012,opera-01-012-s.jpg,爬虫脸谱图集/opera-01-012-s.jpg,JPEG,123,150,0.82000000,13424,630272ee95305c5c3c0dc54cb7858b62082bcc6f13074a15af39bd3552947a38,readable,data/raw/脸谱新一步/网络图片汇总/012.jpg,yes
013,opera-02-013-s.jpg,爬虫脸谱图集/opera-02-013-s.jpg,JPEG,123,150,0.82000000,13914,bf9b6395e6c5119c71db3ab0ab9ac0161899cd5164a26a3ef8919e45ac0ec977,readable,data/raw/脸谱新一步/网络图片汇总/013.jpg,yes
014,opera-02-014-s.jpg,爬虫脸谱图集/opera-02-014-s.jpg,JPEG,123,150,0.82000000,14130,981b7a724cb4c1ddb7e7c35b58a43683b50697b7816c25afc1b0ea85cc027d5a,readable,data/raw/脸谱新一步/网络图片汇总/014.jpg,yes
015,opera-02-015-s.jpg,爬虫脸谱图集/opera-02-015-s.jpg,JPEG,123,150,0.82000000,15215,63626bd6563a1f1768f32d6c704664f964ab837d264eed5618f32107a8469701,readable,data/raw/脸谱新一步/网络图片汇总/015.jpg,yes
