metadata_id,source_row_number,序号,标识号,角色,角色别名,角色类型,一级行当,二级行当,来源剧目,来源剧目别名,来源剧目出处,表演者,语种,关联角色,谱式,绘法,图案,主色,主色寓意,眉形,眼型,额头型,鼻型,嘴型,绘法说明,性格特征,历史演变,图像格式,图像宽度,图像高度,图像大小,图像水平分辨率,图像垂直分辨率,图像位深度,图像创建日期,角色简介,来源剧目简介,表演者简介,流派,参考资料
001,2,1,,郑伦,,神怪类,净,武净,青龙关,,封神演义,通用,中文,陈奇,三块瓦脸,勾脸,,绿色,,,,蝙蝠形,哭鼻窝,虎嘴,,,,jpg,287,350,34,96,96,24,2020.1.5,,,,,
002,3,2,,后羿,,神怪类,净,武净,嫦娥奔月,,淮南子,李寿山,中文,玉兔,三块瓦脸,勾脸,,红色,,刀眉,直眼窝,点形,卷鼻窝,,,,,jpg,328,400,39,96,96,24,2020.1.5,,,李寿山（1866年04月21日-1932年10月07日），京剧净角。名镜林，字仲华，小名七儿。因其身材高大，人称大李七。出身于三庆班，与武净钱金福为师兄弟。初工花旦、昆旦，又改老生，后归武净兼架子花，文武皆能昆乱不挡。1900年，与朱文英同被选入升平署，进宫承差艺名李七儿。1906年应富连成之聘，入社执教。早年曾搭长春班，晚年在梅兰芳京剧团。,,
003,4,3,,陈奇,,神怪类,净,副净,青龙关,,封神演义,通用,中文,郑伦,碎脸,勾脸,,红色,,,,如意钩形,碎鼻窝,火盆嘴,,,,jpg,328,400,40.6,96,96,24,2020.1.5,,,,,
004,5,4,,土行孙,,神怪类,净,武净,攻潼关,氤氲阵,封神演义,通用,中文,姜尚,象形脸,勾脸,,黄色,,,,,碎鼻窝,虎嘴,,,,jpg,409,499,46,96,96,24,2020.1.5,,,,,
005,6,5,,闻仲,闻太师,将官类,净,正净,大回朝,太师回朝,封神演义,裘桂仙,中文,纣王,六分脸,勾脸,,红色,,点眉,,眼形,白鼻窝,,,,,jpg,412,502,28.1,96,96,24,2020.1.5,,,,,
006,7,6,,姜尚,姜子牙、姜太公,将官类,净,副净,渭水河,文王访贤、八百八年,史记·齐太公世家,郝寿臣,中文,姬昌,整脸,揉脸,,红色,,老眉,,点形,灰鼻窝,,,,,jpg,412,502,38.4,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
007,8,7,,崇侯虎,,将官类,净,武净,进妲己,反冀州、献妲己,封神演义,通用,中文,崇黑虎,花三块瓦脸,勾脸,,白色,,,大奸眼窝,随意形,尖鼻窝,,,,,jpg,412,502,37.2,96,96,24,2020.1.5,,,,,
008,9,8,,崇黑虎,,将官类,净,武净,进妲己,反冀州、献妲己,封神演义,通用,中文,崇侯虎,三块瓦脸,勾脸,,粉红色,,,老眼窝,随意形,卷鼻窝,,,,,jpg,412,502,31.3,96,96,24,2020.1.5,,,,,
009,10,9,,姬僚,,将官类,净,正净,鱼肠剑,鱼藏剑,东周列国志,金少山,中文,专诸,三块瓦脸,勾脸,,黄色,,奸眉,老眼窝,随意形,圆鼻窝,,,,,jpg,412,502,29.5,96,96,24,2020.1.5,,,金少山（1890年-1948年8月13日），一说作仲义，又名少山。满族，北京人，京剧净行演员，京剧名净金秀山三子。幼年从父学艺，工铜锤花脸，兼宗何桂山。同时，他从韩乐卿习练武功把子，后拜德珺如为师学架子花脸戏。由于金少山学艺众多，天赋优厚，声音洪亮，在方方面面皆都具备，其艺术风格已经不仅限于父亲金秀山的“金派”范围。他通过发挥自身条件，将净角艺术提高到一个新的高度，形成了自己的流派“新金派”。,,
010,11,10,,米南凹,米南适,将官类,净,武净,文昭关,一夜白须,东周列国志,通用,中文,伍子胥,三块瓦脸,勾脸,,黑色、白色,,随意眉,奸眼窝,,尖鼻窝,,,,,jpg,412,502,34.8,96,96,24,2020.1.5,,,,,
011,12,11,,李刚,,将官类,净,武净,庆阳图,李刚反朝、黑逼宫、斩李广,东周列国志,钱金福,中文,李虎,十字门脸,勾脸,,黑色,,钩眉,环眼窝,立柱纹,卷鼻窝,,,,,jpg,412,502,30.5,96,96,24,2020.1.5,,,,,
012,13,12,,廉颇,信平君,将官类,净,正净,将相和,廉颇负荆、争功请罪,东周列国志,袁世海,中文,胡伤,三块瓦脸,勾脸,,粉色,,柳叶眉,老眼窝,锥形,满鼻窝,,,,,jpg,412,502,29.3,96,96,24,2020.1.5,,,,,
013,14,13,,伊立,,将官类,净,副净,黄金台,田单救主、搜府盘关、乐毅伐齐,新灌园,郝寿臣,中文,田单,太监脸,勾脸,,油白色,,柳叶眉,尖眼窝,点形,,撇嘴,,飞扬跋扈,,jpg,412,502,30.6,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
014,15,14,,胡伤,胡阳,将官类,净,副净,将相和,廉颇负荆、争功请罪,东周列国志,郭元汾,中文,廉颇,花三块瓦脸,勾脸,,白色,,,直眼窝,线形,卷鼻窝,,,,,jpg,412,502,32.4,96,96,24,2020.1.5,,,郭元汾（？-1962年），京剧净角，京剧演员郭春山先生的长子。在入富连成科班后主攻铜锤花脸。郭元汾在唱法上不尚雕饰，吐字行腔遵循传统，追求严谨朴拙的风格，极少个人的发挥创造。他的唱功可称是黄钟大吕，声震屋瓦，他的做功边式好看，细腻传神，是位不可多得的全才净角。解放后调入北京，编入解放军总政治部文工团京剧团，后并入中国京剧院，列为四团。1958年郭元汾随四团支援宁夏，成立宁夏回族自治区京剧团。,,
015,16,15,,荆轲,,将官类,净,副净,荆轲传,荆轲刺秦,史记·刺客列传,郝寿臣,中文,嬴政,三块瓦脸,勾脸,,白色,,柳叶眉,直眼窝,匕首形,满鼻窝,,,,,jpg,412,502,29.6,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
016,17,16,,赵高,,将官类,净,副净,宇宙锋,金殿装疯、一口剑、六义图,史记·秦始皇本记,袁世海,中文,周缺,整脸,抹脸,,白色,,本眉,奸眼窝,,灰鼻窝,,,,,jpg,412,502,28.4,96,96,24,2020.1.5,,,,,
